gene_id	TCGA-A7-A13F-01A-11R-A12P-07	TCGA-A7-A13F-11A-42R-A12P-07	TCGA-AO-A12B-01A-11R-A10J-07	TCGA-AR-A1AP-01A-11R-A12P-07	TCGA-AR-A1AS-01A-11R-A12P-07	TCGA-AR-A1AV-01A-21R-A12P-07	TCGA-AR-A1AW-01A-21R-A12P-07	TCGA-BH-A0DD-01A-31R-A12P-07	TCGA-BH-A0DD-11A-23R-A12P-07	TCGA-BH-A0DG-01A-21R-A12P-07	TCGA-BH-A0DG-11A-43R-A12P-07
RGS1|5996	2723.6948	1428.828	1173.0627	890.2384	202.6114	1385.1457	6073.4014	936.2745	379.4449	566.9903	680.598
RGS10|6001	597.5904	468.3431	1000.9515	497.5259	327.33	524.2733	993.9463	457.9832	225.9324	883.004	632.6918
RGS11|8786	91.8554	224.185	235.509	170.6838	293.548	96.2604	66.9504	207.5875	413.6687	41.999	40.1784
RGS12|6002	422.8916	531.2079	1201.8184	826.3608	511.9316	630.4003	635.263	877.451	752.3851	654.9572	706.0378
RGS13|6003	3.6145	7.1846	1.2686	2.6991	0.9005	2.3134	79.0768	0	3.9029	8.3381	3.6343
RGS14|10636	187.1486	171.0822	721.4293	518.6685	704.6376	492.1749	400.681	236.3445	182.1336	253.0611	167.176
RGS16|6004	235.743	308.4868	172.1112	788.574	258.8924	522.8274	466.5153	414.2157	715.5247	657.4586	159.2467
RGS17|26575	4.0161	5.8374	2.5373	4.9483	3.1517	6.3618	4.5403	6.6527	34.2585	12.5071	6.9381
RGS18|64407	21.2851	38.617	18.6066	34.188	8.1045	21.9773	91.1843	14.7059	37.294	29.6002	44.6023
RGS19|10287	290.3614	182.308	268.5273	543.4098	314.2729	246.3766	426.4094	208.3333	188.2047	404.8144	128.8511
RGS2|5997	304.8193	5129.771	74.4265	381.9163	119.3156	458.9199	710.5562	197.8291	559.8439	296.8361	3285.7025
RGS20|8601	1.6064	4.9394	0.4229	0	1.801	0.5783	1.8918	0.3501	16.9124	1.2507	1.6519
RGS21|431704	0	0	0	0	0	0	0	0	0	0	0
RGS22|26166	1180.3213	96.0934	159.8478	46.3338	1.801	1178.3859	2.2701	546.5686	203.8161	32.9355	45.9238
RGS3|5998	832.5301	2213.7405	783.1695	720.1979	1076.9923	783.3736	502.4593	978.9916	3388.118	1170.2514	624.1018
RGS4|5999	247.7912	73.1926	60.0486	79.6221	253.9397	188.2526	28.7552	219.5378	36.8604	278.0754	54.1835
RGS5|8490	2885.5422	5345.7566	5313.0352	1092.6676	549.3021	2309.6364	846.0083	1373.5994	10263.2264	3251.8563	4031.3868
RGS6|9628	0	115.8509	3.8059	0.8997	126.9698	0.5783	2.6485	51.4706	175.6288	10.0057	103.0809
RGS7|6000	65.4618	0.8981	0	0	1.3507	18.218	4.1619	0	0.4337	2.9183	1.3215
RGS7BP|401190	2.8112	54.3332	0	2.6991	0	0.8675	3.7836	0.7003	61.1448	7.5043	48.5669
RGS8|85397	2.008	0	0	0	0	0	0.3784	0.3501	0	0.4169	0
RGS9|8787	6.8273	80.3772	933.7139	4.9483	0.9005	7.2294	29.8903	4.2017	3.4692	7.5043	63.7648
RGS9BP|388531	3.2129	2.2452	2.1144	14.395	3.602	0	6.0537	0.7003	0	3.7521	3.9646
RGSL1|353299	0.4016	0	0	0	0	0	0	0	0	0	0
RHAG|6005	0	0	0.4229	0	0	0	0	0	0	0.4169	0
RHBDD1|84236	468.6747	395.1504	471.5086	341.8803	238.181	500.2718	608.3995	486.3445	377.2767	384.803	479.3921
RHBDD2|57414	2257.4297	1433.3184	3198.2239	2946.0189	2058.0819	1757.3132	1250.4729	2033.6134	1215.9584	1492.1017	992.8141
RHBDD3|25807	292.3695	157.6111	649.5401	289.6986	330.932	124.9234	186.5305	295.1681	231.5698	312.6785	102.4201
RHBDF1|64285	674.2972	706.3314	818.6912	1076.9231	1789.7344	1039.0039	419.2206	533.2633	513.4432	947.2074	618.4852
RHBDF2|79651	731.3253	430.1751	418.6489	848.4031	418.7303	641.9673	1083.2387	344.888	227.667	786.6991	219.7076
RHBDL1|9028	79.1165	17.0633	653.346	44.9843	229.6263	53.4973	5.6754	25.9104	13.4432	7.9212	8.9205
RHBDL2|54933	204.8193	44.0054	24.5269	83.6707	92.3008	45.1112	17.4045	34.3137	9.974	69.2062	43.6111
RHBDL3|162494	9.6386	30.0853	13.955	15.2946	4.5025	7.8077	13.6209	14.0056	49.8699	71.7076	57.4874
RHBG|57127	83.9357	1.7961	1.2686	2.2492	1.801	11.8562	30.647	17.507	0.4337	25.4312	1.3215
RHCE|6006	12.4498	13.0355	25.3727	5.848	4.0522	27.4716	15.5127	2.451	3.0356	18.3438	10.9028
RHCG|51458	0	9.4297	0	1.3495	1.3507	0.2892	0.7567	0.3501	10.4076	8.3381	6.2774
RHD|6007	2.008	12.2093	2.1144	0.4498	1.3507	1.4459	1.1351	0	0.4337	2.1012	13.8763
RHEB|6009	1172.2892	885.0471	1635.6909	1103.4638	1041.4228	843.5219	1065.8343	1625.3501	950.9974	756.6819	783.6789
RHEBL1|121268	37.3494	14.8181	11.4177	37.7868	10.8059	7.8077	44.6462	56.7227	7.8057	15.4255	13.8763
RHO|6010	0	0.8981	1.6915	2.2492	0.4502	1.4459	0.3784	4.5518	0.4337	0	1.3215
RHOA|387	17464.257	14255.0516	7271.8046	12121.9073	28188.6538	14637.4331	10791.9031	10381.3025	18101.4744	10699.4409	9143.8011
RHOB|388	14171.8876	17299.5061	6583.3598	9496.6262	9680.7744	11935.0977	4778.6606	5167.0168	17133.131	8265.9685	4056.8266
RHOBTB1|9886	471.4859	532.555	1848.3984	259.1093	377.3075	376.216	406.7348	681.3725	853.4258	571.5763	443.7103
RHOBTB2|23221	890.5663	492.2093	530.6523	587.4539	439.104	730.5154	625.244	486.0049	457.1943	534.8678	589.0411
RHOBTB3|22836	1119.6787	3473.7315	4053.2826	1991.453	1067.5371	22040.2994	1040.8627	2084.0336	7111.4484	1129.8116	1437.5155
RHOC|389	6781.5261	4266.7265	4195.3695	9317.139	11504.2774	5956.994	1572.8339	3039.916	3921.0755	5451.4452	2978.1118
RHOD|29984	889.5582	255.5007	811.5023	465.1372	973.8856	752.7211	87.0223	574.93	181.6999	385.2199	205.5009
RHOF|54509	731.9036	27.8985	750.8743	149.8471	69.4192	19.901	586.5872	91.6737	46.9211	363.9494	61.4487
RHOG|391	865.8635	991.4683	630.9335	1095.8165	1135.0743	543.648	1137.7223	688.0252	955.3339	1585.9053	613.199
RHOH|399	185.5422	165.2447	206.7872	147.0985	769.9235	2036.3666	1004.5403	574.5798	28.621	1915.26	578.8387
RHOJ|57381	179.5181	764.2568	64.7003	106.1628	53.1292	139.6713	83.9955	40.2661	421.9428	287.2473	573.5525
RHOQ|23433	702.0803	5312.4068	843.1293	1841.6554	722.4629	647.9272	1456.9315	960.8964	11068.569	1208.5941	1821.1977
RHOT1|55288	1000	890.4356	828.4174	468.7359	896.443	1507.1773	1192.2058	1456.2325	835.2125	738.755	1103.4938
RHOT2|89941	751.004	679.3893	1549.4238	1656.3203	2800.09	1560.6746	968.2179	973.7395	712.4892	894.2605	634.0134
RHOU|58480	86.747	2925.4603	41.0191	389.5637	26.5646	223.821	449.1109	239.4958	1401.5611	978.8921	1708.7635
RHOV|171177	2079.5181	272.564	23.2583	513.2704	315.1733	84.4389	149.073	71.4286	2.1683	282.2444	733.7904
RHOXF1|158800	0	17.9614	0.8458	3.1489	0	0.5783	1.1351	1.7507	44.6661	1.2507	6.2774
RHOXF2B|727940	0	0	0	0	0	0	0	0	0	0	0.3304
RHPN1|114822	450.6024	90.2559	620.3616	1313.5403	710.0405	510.9713	752.1756	1123.5994	60.7112	262.233	120.261
RHPN2|85415	724.8996	633.1388	182.6832	1713.0004	502.4764	69.9802	580.0227	555.6723	32.0902	301.0052	1504.9145
RIBC1|158787	73.0924	27.3911	144.6242	49.4827	69.3381	43.3762	17.7828	58.1232	13.4432	48.3609	32.0476
RIBC2|26150	80.3213	12.573	160.6935	28.7899	55.8307	17.0613	30.2686	227.591	2.1683	23.3467	13.8763
RIC3|79608	7.6305	119.8922	49.8996	53.9811	2.2512	0.5783	74.5365	3.1513	39.8959	35.8538	337.6559
RIC8A|60626	2105.0562	1609.4387	2147.1403	3080.1889	2272.5619	1540.4353	1438.4374	1974.2437	1715.5724	2478.3105	1608.8511
RIC8B|55188	400	500.2245	400.4652	224.0216	294.0117	883.428	354.143	699.2297	608.8465	258.4809	414.9665
RICH2|9912	146.5863	223.6192	91.7645	1000	16.6592	104.1028	214.1506	120.7983	142.6713	224.7116	290.0801
RICTOR|253260	640.1606	1017.5123	806.0049	1063.4278	530.3917	1534.3597	1216.4207	919.1176	823.9376	776.6934	1974.7254
RIF1|55183	889.1566	1087.1127	334.0734	1376.0684	470.5088	1402.4962	1571.3205	1898.8095	975.2819	896.7619	2086.7267
RILP|83547	38.9558	317.9165	92.1873	95.3666	45.0248	29.4958	101.3999	55.6723	559.4102	116.3164	80.6145
RILPL1|353116	189.759	322.0431	110.7263	312.4471	142.688	206.5111	190.787	204.8144	292.0555	162.8513	227.9838
RILPL2|196383	393.5743	499.3264	156.0419	351.327	271.9496	439.5452	465.7586	174.3697	553.3391	257.6471	556.3723
RIMBP2|23504	0	28.2892	0	3.5987	1.801	0.2892	5.6754	0	33.3912	8.3381	28.7437
RIMBP3|85376	70.6827	10.3278	41.0191	30.1395	15.7587	61.305	62.0507	16.1064	16.0451	85.4655	14.537
RIMBP3C|150221	4.8193	0.449	2.5373	3.1489	0.4502	2.6026	3.4052	0.3501	2.1683	3.7521	1.9823
RIMKLA|284716	7.6305	26.9421	61.7401	10.3464	56.7312	97.1626	20.4313	69.3277	50.7372	127.5728	60.7913
RIMKLB|57494	180.8554	902.7301	329.9715	409.5097	159.1535	371.4533	327.9607	405.0735	1195.065	256.8008	599.6168
RIMS1|22999	7.6305	6.2865	15.6465	6.7476	3.602	8.0969	4.1619	452.0308	15.1778	5.8367	18.1713
RIMS2|9699	215.6627	5.3884	97.2619	3.1489	0.4502	4.916	1.5134	152.6611	2.1683	3.3352	4.6254
RIMS3|9783	53.8153	502.0207	3.8059	113.8102	136.425	26.3149	103.6701	52.1709	68.9506	95.0543	646.8985
RIMS4|140730	337.751	41.7602	9.7262	145.749	320.1261	2147.1204	76.4283	3954.4818	150.9107	226.3792	18.8321
RIN1|9610	116.8675	143.242	297.7059	238.8664	210.2656	74.8962	44.2679	210.7843	57.6756	67.5386	120.9218
RIN2|54453	1076.3052	1629.9955	1002.643	3147.0985	2784.7816	6025.5283	998.8649	2041.6667	1585.863	3523.2612	2121.4174
RIN3|79890	418.4739	720.7005	168.7282	407.1075	254.8402	318.6703	600.8324	133.7535	580.2255	780.0286	449.3268
RING1|6015	411.6466	607.0947	1137.9638	446.2438	543.8991	492.4641	706.7726	619.7479	570.6852	495.2827	584.4553
RINL|126432	133.7349	205.6578	572.5764	268.1062	93.2013	216.3025	335.6035	221.6387	140.0694	80.8795	173.123
RINT1|60561	545.1205	384.1446	418.0484	505.5331	296.8122	525.7568	516.3526	496.1275	314.6054	404.114	446.9315
RIOK1|83732	443.3735	414.4589	380.167	240.6658	397.1184	441.5694	635.6413	449.93	373.8075	328.5209	542.1657
RIOK2|55781	438.9558	507.8581	707.4744	630.6793	571.3643	745.7809	453.2728	408.2633	421.9428	476.9389	625.7537
RIOK3|8780	895.1807	1178.2667	1143.4613	279.8021	1491.2202	756.1912	1110.8589	1148.4594	1201.6479	1000.1543	1547.2041
RIPK1|8737	1171.8876	1081.2753	866.0535	805.668	939.6668	1238.8234	1144.1544	1009.1036	1265.8283	1221.9475	1050.3015
RIPK2|8767	945.7831	365.0651	192.4093	904.6334	570.0135	488.7048	621.6421	711.8347	272.333	486.9446	363.7565
RIPK3|11035	56.2249	147.7324	422.0319	317.5888	179.1986	439.5452	256.5267	133.7535	204.6834	233.4666	192.9462
RIPK4|54101	35.743	607.5438	29.1786	262.2582	95.0023	42.7978	248.9595	220.9384	1.7346	172.5985	667.3825
RIPPLY1|92129	0	0.6646	0	0	0	0.5783	0	1.6597	3.5733	0	0
RIPPLY2|134701	0	0	0	0	0	0	0	0	0.4337	0	0.9912
RIT1|6016	451.4056	583.2959	649.963	1084.5704	931.1121	747.8052	944.3814	592.0868	589.7658	820.4684	772.4457
RIT2|6014	0	0	0	0	0	0	0	0.3501	0	0	0.9912
RLBP1|6017	0	0.8981	0	0	0	0	0	0	0.4337	0	1.9823
RLF|6018	560.241	757.5213	205.0957	580.7467	586.2224	450.2446	785.8494	939.0756	600.6071	472.7699	1065.8297
RLIM|51132	1331.3253	1255.0516	726.081	1606.3878	1295.3624	2319.4684	1433.9765	1700.6303	1241.5438	1345.7682	2229.454
RLN1|6013	1.6064	0.8981	1.6915	0.8997	4.5025	2.8917	1.1351	3.1513	0	3.3352	3.3039
RLN2|6019	36.1446	12.1239	21.5668	91.7679	34.6691	10.1211	21.188	70.3782	4.7702	12.924	30.726
RLN3|117579	0	0	0	0	0	0	0	0	0	0	0
RLTPR|146206	19.6787	8.0826	2.5373	19.7931	13.5074	42.5086	453.6512	233.5434	3.9029	43.775	17.5105
RMI1|80010	467.4699	133.3633	339.5708	222.2222	485.367	546.2506	350.3594	1017.8571	110.1474	447.7556	272.9
RMND1|55005	343.3735	579.2546	2289.8827	1582.996	1114.8131	427.1107	470.2989	702.0308	542.4978	596.5906	890.0636
RMND5A|64795	1022.49	1926.3583	2046.728	1550.1574	1380.9095	1445.8723	1810.0643	2117.9972	2640.0694	1766.0081	2824.8121
RMND5B|64777	936.5462	668.6125	904.9582	1470.9852	964.4304	1261.0898	514.9451	1132.3529	743.2784	895.9281	575.5348
RMRP|6023	21.6867	9.4297	10.9948	2.2492	32.4178	3.7593	10.594	5.9524	12.1422	5.4198	6.9381
RMST|196475	0	0.8981	2.1144	0	0.4502	2.8917	0	8.0532	0	1.2507	0.6608
RNASE1|6035	2770.6827	12299.057	2126.6519	1189.3837	4459.2526	849.5946	2052.5918	728.9916	9730.7025	1567.9784	862.3111
RNASE10|338879	0	0	0.4229	1.7994	0.4502	1.1567	0.3784	0	0.4337	0.4169	0
RNASE11|122651	0	0	0	0	0	0	0	0	0	0	0
RNASE12|493901	0	0	0	0	0	0	0	0	0	0	0
RNASE13|440163	0	0.8981	1.6915	0.4498	0	0	0	0	1.301	1.2507	1.3215
RNASE2|6036	15.6627	0.8981	6.766	8.0972	6.7537	16.7721	4.5403	6.3025	2.6019	10.8395	1.6519
RNASE3|6037	0	0.449	0.8458	0	0	0.2892	0	0.3501	1.7346	0	0.3304
RNASE4|6038	1012.739	3006.3628	1324.5079	1642.4741	421.5624	914.734	1084.4344	416.362	5836.7259	1251.3727	2533.4897
RNASE6|6039	314.4578	273.9111	279.945	190.2834	160.7384	158.1784	853.1971	98.7395	188.6383	312.6785	211.1175
RNASE7|84659	1.6064	48.0467	0	4.0486	2.2512	0	0.7567	0	1.301	7.5043	64.7559
RNASE8|122665	0	0	0	0	0	0	0	0	0	0	0.3304
RNASE9|390443	0	0	0	0	0	0	0	0	0	0	0
RNASEH1|246243	239.759	271.2169	111.6397	341.4305	208.4647	215.1458	361.7102	266.1064	354.7268	289.3318	294.0448
RNASEH2A|10535	1329.7189	180.0629	710.0116	327.9352	666.8167	579.2165	601.2107	1027.3109	142.2376	531.1365	189.9727
RNASEH2B|79621	308.0321	337.674	795.8558	263.6077	423.2328	437.8101	528.9444	169.4678	328.7077	402.313	384.5709
